"","subject","structure","text"
"1","ingroup","outgroup","critical level?"
"2","outgroup","ingroup","Hypothesis comes before methods"
"3","ingroup","ingroup","Is this the most concise way to communicate no significant difference?"
"4","ingroup","outgroup","Try to use more parentheticals e.g. (t = , p = , df = ) etc."
"5","ingroup","outgroup","Just cite your figures at the end of the sentence e.g. (figure 1, figure 2)."
"6","ingroup","outgroup","Make sure you mention error bars"
"7","outgroup","outgroup","More or less, but you should think of resource allocation in terms of the chemistry of photosynthesis. What’s the limiting reactant in a high light environment? Why might a plant prioritize collection of the limiting reactant?"
"8","outgroup","ingroup","Make sure your explanation of R:S is consistent in your introduction; your hypothesis does not correspond to the literature that you present."
"9","outgroup","outgroup","You also need to explain light availability in terms of cellular functions and its potential impact on resource allocation specifically."
"10","ingroup","outgroup","You omit standard deviations from your results and you spend too much time in your discussion explaining p-values (you can assume that your reader can interpret significance without saying that the p-value was higher than the critical value)."
"11","outgroup","ingroup","Remember R:S = R/S. This statement is contradictory to your explanation of resource allocation."
"12","ingroup","outgroup","replicate"
"13","ingroup","outgroup","SDs?"
"14","outgroup","ingroup","This belongs in the methods section"
"15","ingroup","outgroup","What cell functions do light fulfill? An unfamiliar reader needs more background about light and its role in resource allocation in order to make sense of your hypothesis"
"16","outgroup","outgroup","Hmm, you set up the end of your discussion like you had a big connection to make to ecology and evolution, and this is a pretty vague statement. Think a little more deeply about this point and include a specific connection between behavior and fitness, or something along those lines."
"17","ingroup","ingroup","I don’t understand this sentence.Please include more in-depth descriptions of your fake fish."
"18","ingroup","ingroup","How are you defining authentic/unauthentic?"
"19","outgroup","ingroup","I think you mean groups (each interaction of fish is a trial in this situation)"
"20","outgroup","outgroup","Ok, I hope I see evidence of this in your discussion!"
"21","ingroup","ingroup","Specify exactly which value you ran the tests on."
"22","outgroup","outgroup","Two things, this is a sentence fragment, and also when you cite things in a scientific paper you should not include quotes, they must be paraphrased. Even if you use quotation marks, it’s still not acceptable in scientific literature."
"23","outgroup","ingroup","You should use this citation to set up the rationale for your hypothesis, so I will look forward to that in the revised version."
"24","outgroup","outgroup","We believe this is because…. (here you present this as a fact, and I can think of other cues that were also missing when you presented the fish with the fakes). Can you also think of them? Including those may allow you to make an even more convincing argument."
"25","ingroup","ingroup","Average value for graphs should final day avg - first day avg for every caterpillar and then avg of the three differencesAdd error bars"
"26","ingroup","outgroup","Check in the bio core guide which is the correct format of in-text citations."
"27","outgroup","outgroup","Coloration of the larvae"
"28","outgroup","outgroup","delete"
"29","outgroup","outgroup","Do not quote other papers"
"30","outgroup","outgroup","food"
"31","outgroup","outgroup","Hypothesis are not proven correct or incorrect. The observed data could support or not the hypothesis."
"32","outgroup","ingroup","I don’t understand how is this study explaining your results. What is your interpretation based on what they did? If you can make the link between this study and the study of the other researchers, then it will be more clear."
"33","ingroup","outgroup","Include these with their corresponding means."
"34","outgroup","outgroup","interpret ???"
"35","ingroup","outgroup","Mention standard deviation"
"36","outgroup","outgroup","Methods should be written in past tense."
"37","outgroup","outgroup","Omit this"
"38","ingroup","outgroup","Report the mean ± SD. You should always report those values together."
"39","outgroup","outgroup","Rewrite this sentence. Find a better way to explain this idea because it is confusing."
"40","ingroup","ingroup","That difference was not enforced by the t-test because there was not statistical significance."
"41","outgroup","outgroup","That hormones regulate"
"42","ingroup","outgroup","The standard deviation is not another important figure."
"43","outgroup","outgroup","this is ambiguous"
"44","ingroup","ingroup","This is not quite right. JH only decreases during the last larval instar (5th), during the first four instars JH remains high and there are molts."
"45","ingroup","outgroup","This is OK for the figure legend, but not for the results section."
"46","outgroup","outgroup","unnecessary"
"47","outgroup","outgroup","writting"
"48","outgroup","outgroup","You are missing an entire section, the Abstract. Don’t forget to include that because missing a section will lead to fail this evaluation."
"49","ingroup","ingroup","you are missing the error bars"
"50","outgroup","ingroup","you can mention this earlier when you talked about the IGR and its use as a pesticide."
"51","outgroup","outgroup","you can omit this"
"52","ingroup","outgroup","You don’t say the entire title of the figure, just say figure 1"
"53","ingroup","ingroup","You should cite the lab manual for this because you got that information from there."
"54","outgroup","outgroup","Instead of saying: In case study 1, you could say: previous studies described the use of Insect Growth Regulators as alternative pesticides"
"55","ingroup","ingroup","Give the values! They’ll better illustrate your point"
"56","outgroup","ingroup","This is kind of strange phrasing. Just say that seeds were grown."
"57","outgroup","ingroup","The only notable issue was in the discussion, which introduced differences between potted and natural plants, but never specifically explained the effect. In the future, make sure you explain every explanation thoroughly and specifically!"
"58","outgroup","ingroup","True, but why?"
"59","outgroup","outgroup","What’s the difference? How does it relate to your study? You need to be more specific."
"60","outgroup","outgroup","Check spelling and grammar throughout. You have some missing and misspelled words, as well as places where you use the wrong homophone."
"61","ingroup","ingroup","Based on what observations?"
"62","ingroup","outgroup","How many tails?"
"63","ingroup","outgroup","How much?"
"64","outgroup","ingroup","Need a title that relates to your experiment – ask your peers for ideas if you need some."
"65","ingroup","outgroup","Refer to the figure number."
"66","outgroup","outgroup","These are good examples, what is this concept called? Be specific."
"67","ingroup","ingroup","This figure is not informative. You should instead show a figure of the R:S length and weight ratios for your control and experimental plants."
"68","ingroup","outgroup","Your figure caption also should be much more descriptive."
"69","outgroup","outgroup","This is a pretty good start to your introduction, but it doesn’t tell me anything about what previous studies looking at salinity in particular have found. Look for that research and integrate it into your intro to contextualize your experiment and hypothesis."
"70","ingroup","outgroup","Use citation style in the lab resource guide/like was on the resource guide quiz."
"71","ingroup","outgroup","What concentration? Remember, you should include all of the details necessary so that someone could recreate your experiment later."
"72","outgroup","outgroup","Write this as if you were writing a scientific journal article instead of a lab notebook- avoid phrases like, “this lab.”"
"73","ingroup","ingroup","You say there is a statistical significance, but these p-values are not significant. Which is true?"
"74","ingroup","outgroup","Try something like, “The average R:S ratio for weight of sun plants was 0.635 ± 0.223”"
"75","ingroup","outgroup","Choose one to include,  not both."
"76","ingroup","ingroup","Don’t need this figure, it is summed up nicely by the other one."
"77","outgroup","outgroup","Don’t use quotations, just paraphrase"
"78","ingroup","outgroup","Include averages that correspond to this statement the p-value here"
"79","outgroup","ingroup","Include this in paragraph form in your results section."
"80","outgroup","ingroup","Make this clear that this is your hypothesis."
"81","ingroup","outgroup","Raw data"
"82","ingroup","outgroup","Reference your figures"
"83","ingroup","ingroup","What mean?  You should include the means that are important to your discussion here in paragraph form."
"84","ingroup","outgroup","You can keep this, just make sure the significant digits are correct."
"85","ingroup","outgroup","Cite these as written journal articles (see resource guide)"
"86","ingroup","outgroup","Ha, ok it’s great that you’re excited but here just say whether your hypothesis was supported or not."
"87","outgroup","ingroup","Move this to the end of the intro after you’ve built up a good argument for why this hypothesis might be true."
"88","outgroup","ingroup","Ok so now, put this in context of evolution and animal behavior to wrap up your report."
"89","outgroup","outgroup","Okay I see why you included this (because you needed a reference) but it’s not helping you support your hypothesis. Can you find a better source that actually talks about shelter? There are lots of fish that hide in coral reefs for shelter, for example. Looking at some articles about them may be a better resource.Overall, this is better than your plant introductions were, so I see improvement here."
"90","outgroup","outgroup","Pretend like you are writing a scientific journal article, not a lab notebook- avoid phrases like this one."
"91","ingroup","outgroup","Report results of t-test as shown in the resource guide. Ex: “We found a significant difference between x and y (t=, df= , p=)."
"92","ingroup","ingroup","Start by talking about the fish you used, not the tanks."
"93","ingroup","outgroup","To compare what, exactly. The number of red manes for a single fish? For both fish added together? Something else?"
"94","ingroup","outgroup","What do the error bars represent?"
"95","ingroup","ingroup","What’s up with the y-axis?"
"96","ingroup","ingroup","Also check that your standard deviation bars are reflecting the correct values, they look like they are the same size and they shouldn’t be."
"97","ingroup","outgroup","Not specific enough, raw data"
"98","ingroup","outgroup","Raw data"
"99","outgroup","outgroup","This report will have to receive a 1/4 since it’s not done yet. But you can correct it for the 2nd submission"
"100","ingroup","outgroup","Use peer reviewed/primary literature"
"101","outgroup","ingroup","Be careful with your language. Adaptations and phenotypic plasticity are not the same concept."
"102","ingroup","outgroup","Do not support"
"103","outgroup","ingroup","Don’t lead with the purpose of the experiment. Remember, start broad and get more specific."
"104","outgroup","ingroup","Good point, but you need to back it up with scientific literature."
"105","outgroup","outgroup","You also need to use a more scientific tone."
"106","outgroup","outgroup","Never use quotes in scientific writing"
"107","ingroup","ingroup","Statistics? How do you know whether or not they were significantly different?"
"108","ingroup","ingroup","This is not proper citation format. None of these sources are primary literature. You need to search for peer-reviewed research articles. Come to see me if you need help with research"
"109","ingroup","outgroup","This is the same information available in your figureds"
"110","outgroup","ingroup","You need to expand on your explanation of plant allocation in the introduction, paying particular attention to the effect of soil nutrient availability on root growth."
"111","ingroup","ingroup","Your methods need to explain your analysis methods and your results need to include statistics."
