row,subject,structure,text
1,3_technical,4_specific,The commitment pulse occurs during the 5th larval stage
2,2_writing,2_copyedit,This is not a scientific term
3,3_technical,4_specific,Another potential reason could be error in isolating the chloroplasts from the leaves. Recall that you didn’t actually record the relative density of chloroplast this time. Going through that step to ensure your sample actually had a high density of chloroplast would be an effective way to ensuring that you had chloroplast in your treatment to begin with.
4,3_technical,4_specific,I would rather focus on improving the procedure to isolate the chloroplast rather than doing 30 replicate per treatment
5,3_technical,4_specific,"What is the stimuli to open Ca++ channels, the arrival of an AP or the opening of K+ channels? You should be precise."
6,3_technical,2_copyedit,"Try something like, “The average R:S ratio for weight of sun plants was 0.635 ± 0.223”"
7,2_writing,4_specific,"This goes in methods, but why’d you use paired? I don’t think it’s appropriate for your data, so please reach out and ask me questions if you need help!"
8,2_writing,4_specific,"Instead of saying that the obtained results were opposite to the expected results, just mention the observed trends in the data. That is what you got, mention that first and then later you can mention that it goes against the predicton."
9,3_technical,2_copyedit,"Just refer to the study, not the author."
10,2_writing,1_pointer,?
11,2_writing,1_pointer,Typo?
12,3_technical,4_specific,"Directed hypothesis = one-tailed, and the hypothesis you state above is one-tailed. Clarify please."
13,3_technical,4_specific,Which statistical test(s) did you run?
14,1_basic,4_specific,"We talked about this is class, but you cannot mention or discuss your hypothesis (or whether or not it is supported) in the results. This belongs in the discussion and is an organizational issue. Given that the rest of this report is very good, fixing this error will allow you to still get a good overall grade on your revision, but please come see me if you are confused."
15,3_technical,4_specific,"These is telling you that you probably don’t need so many figures because they are showing the same information, so you could combine them"
16,2_writing,8_nobasis,specify
17,3_technical,4_specific,You need another citation. The lab manual only is not enough.
18,4_logic,3_general,Don’t attribute your results to error
19,2_writing,3_general,Do not quote previous studies. Explain their observations with your own words.
20,4_logic,3_general,Also explore the possible reasons why your herbicide experiment didn’t turn out the way you expected
21,4_logic,3_general,You need to expand far more in your discussion. Talk about future directions and expand on your explanation of your data.
22,4_logic,3_general,"Your discussion needs to talk about the implications of your results, whether your hypothesis was supported, and give a biological reason for your results"
23,1_basic,3_general,No interpretation. Just trends
24,3_technical,4_specific,"Ah, so a good control here would have been covering the control PDA plates with water and allowing them to soak for 10 minutes too."
25,3_technical,4_specific,You need to include also the difference between groups. That was also in the figure
26,3_technical,2_copyedit,Ca++ is released from…
27,3_technical,2_copyedit,Can you use a more scientific term?
28,3_technical,3_general,Can you just generalize the methods a little bit more.
29,3_technical,2_copyedit,R:S for length? Weight? Both?
30,3_technical,2_copyedit,Citation formattingOmit this
31,3_technical,7_idiomatic,"Nitpicking: citation first, then period"
32,2_writing,2_copyedit,It was hypothesized…
33,3_technical,4_specific,"No, K+ ions leave the cell and this causes the repolarization."
34,2_writing,3_general,informal
35,3_technical,4_specific,What does this mean? Check your statistical terms and be precise.
36,4_logic,3_general,Why you hate on poor blue? (Tell me why this makes sense.)
37,3_technical,4_specific,Use a figure instead of two tables and only display the means with the standard deviation depicted by error bars. Come see me if you need help with excel.
38,2_writing,4_specific,This is irrelevant information. Start by explaining the underlying biological concept of your study (i.e. intraspecific aggression)
39,3_technical,3_general,Include volumes
40,2_writing,2_copyedit,extract
41,3_technical,4_specific,"Where is the description of the weight and length data? The statistical outcome should corroborate the observations, it will determine if the differences were caused by chance or if there was an effect, but before mentioning the statistical analysis you should mention the direct observations."
42,3_technical,4_specific,What is muscle preparation?
43,3_technical,2_copyedit,"This section could be much more concise by just saying something like “xxx was not significantly different than yyy (p = 0.637, Figure 1)”"
44,3_technical,2_copyedit,Where’s your figure reference?
45,3_technical,4_specific,Why did you use a different number of drops? The treatment and control conditions should be similar in terms of the amount.
46,2_writing,4_specific,This explanation should come before you talk about changes in root:shoot
47,2_writing,3_general,confusing
48,4_logic,2_copyedit,What was your main hypothesis. Make sure to include your hypothesis as one of the first sentence in your abstract.
49,1_basic,3_general,You also need primary literature in your discussion section
50,2_writing,4_specific,Keep your background info focused on R:S
51,3_technical,4_specific,Need to have error bars on your graphs. Need to have correct x axis labels. See me if you need help
52,1_basic,4_specific,Make sure to include outside sources in the introduction (Basic Criteria).
53,1_basic,4_specific,"Talking about your hypothesis should go in your discussion section, not your results section. You can say your p-value is significant, but no more than that"
54,2_writing,3_general,No citations in abstract
55,3_technical,2_copyedit,"When reporting the results of a two-sample t-test, you need to include the resulting t-statistic, the degrees of freedom (df), and the corresponding P-value. Your statement might look like this, “The mean of the control group was not statistically significantly different than that of the experimental group (t-stat = 0.57, df = 26, P = 0.574).”"
56,2_writing,3_general,This is a little confusing. Try to break this up into smaller chucks when explaining
57,2_writing,3_general,Don’t use hyperbole in scientific writing.
58,2_writing,4_specific,"This belongs in the methods, not the intro. Just begin your intro with the next sentence."
59,2_writing,4_specific,It was already included when you said that it experienced tetany.
60,4_logic,4_specific,What did this study look at and do and what kinds of things did they find out?
61,3_technical,4_specific,Which type of t-test? (two-sample)
62,3_technical,2_copyedit,provide molarity
63,3_technical,4_specific,What statistical testing did you use?
64,2_writing,4_specific,You need to start the discussion with this sentence
65,3_technical,6_holistic,"I think if the only thing you have to say about this figure in your results is that there’s nothing really going on, it’s probably not worth including"
66,4_logic,4_specific,"This is not what it means. It means the data is insignificant, regardless of its relevance to the experiment"
67,3_technical,4_specific,You need a y-axis label
68,3_technical,2_copyedit,SD?
69,4_logic,4_specific,"Because you stated that your statistical test said the change in mass were not statistically different, this essentially states that the difference in mass for your experimental and control could have been by random chance. As such, you should treat them as being the same or at least very similar. Due to this, you would have to come to the conclusion that statistically, there was no effect of precor on Manduca growth."
70,3_technical,2_copyedit,"Reduce your significant digits, same for t-value"
71,2_writing,3_general,informal
72,3_technical,2_copyedit,"We used an incubator, not a fridge"
73,3_technical,2_copyedit,How much will you inject?
74,3_technical,3_general,Describe all the results citing figures and t-test p-values.
75,2_writing,3_general,You also tend to write really short sentences that makes your report read really choppy. Adding detail will help with this. So ask yourself “why” and “how” to help you out.
76,3_technical,2_copyedit,conspecific
77,2_writing,4_specific,You may want to mention this earlier in your discussion.
78,3_technical,2_copyedit,"If consecutive sentences use the same citation, you can just cite it at the end of the last sentence."
79,3_technical,2_copyedit,Stats?
80,3_technical,2_copyedit,Why don’t you look up what that muscle is called
81,3_technical,4_specific,"Which type of t-test?But more importantly, why did you use different # of tails for the tests? What in your hypothesis makes this a valid approach, I only see a two-tailed hypothesis? You should either clarify your hypothesis, or use the two-tailed t-test for both the weight and length ratios."
82,3_technical,2_copyedit,2% water agar
83,3_technical,8_nobasis,What do you mean?
84,2_writing,2_copyedit,The statistical outcome is not necessary in the Abstract.
85,3_technical,4_specific,What volume and concentration of reagents were used in the experiment?
86,3_technical,2_copyedit,Error bars?
87,3_technical,4_specific,In what cohort?
88,3_technical,2_copyedit,"Format: t-stat=_, d.f.=_, p=_"
89,3_technical,4_specific,Did you sterilize anything?
90,2_writing,3_general,Do not quote previous studies
91,3_technical,3_general,All information that is not common knowledge needs to be cited.
92,4_logic,4_specific,"If the roots are more massive, can we conclude that nutrients are actually being allocated to the shoots?"
93,3_technical,4_specific,This label should have more. How many frogs did you use? What do error bars represent? What is the trend of the graph? What are your statistical results?
94,3_technical,3_general,This is not the title of the lab report. The title should give an idea of the experiment
95,4_logic,6_holistic,Did they always fight to the death? Would selection really favor the death of closely related individuals?
96,2_writing,2_copyedit,Specifically… (You’re not deducing all of signaling in this lab.)
97,4_logic,6_holistic,For manduca sexta is it better to keep in in a pupal phase or an adult?
98,3_technical,2_copyedit,Paired t-test
99,3_technical,4_specific,The null hypothesis cannot be rejected. (The null hypothesis would be that tubocurarine has no effect on the muscle).
100,3_technical,2_copyedit,I would try to include the number of pulses and the width (how long the stimulus lasted).
101,4_logic,4_specific,"Only talk about mutualism, the others are impertinent to your study"
102,2_writing,4_specific,You need a hypothesis in your abstract
103,3_technical,6_holistic,Does it just diffuse?
104,2_writing,3_general,The intro needs to be reorganized and portions need to be clarified
105,3_technical,4_specific,The figure caption could have some more info…specify “shade” or “full sun” instead of control and experimental. And a brief description of the methods used
106,2_writing,4_specific,These are really more methods than results
107,3_technical,2_copyedit,You don’t need this. You already analyzed the p-value.
108,2_writing,4_specific,Title should VERY briefly state the main takeaway of your experiment
109,3_technical,3_general,How? It is super important that someone can read this and replicate your experiment exactly!
110,3_technical,4_specific,Use the average of these values/column to make your graph.
111,3_technical,8_nobasis,What is this made of?
112,4_logic,3_general,Why are you asking this question? What do we need to know to answer it?
113,4_logic,3_general,Why is there a clear difference? Can you support that statement?
114,3_technical,2_copyedit,refer to correct format in the precious comment
115,4_logic,4_specific,I guess what isn’t totally clear is why is 21 degrees C your control? Make that more explicit—is it an optimal temperature for photosynthesis?
116,4_logic,4_specific,"You spend a lot of time talking about error here. It’s good to be up front about possible defects in your data, but only if you think they really had an effect on the outcome of the experiment. For example, I’m not sure the fish eating the soil is an ERROR, it’s just something that happened in the experiment. You could mention it as an interesting observation rather than a mistake."
117,2_writing,3_general,revise
118,3_technical,4_specific,Check d.f. value
119,2_writing,4_specific,"No need to explain specific aggressive behaviors in your introduction. Instead, focus your introduction on explaining intraspecific aggression, experimental treatments, and their connection."
120,4_logic,3_general,What is the bigger picture?
