comment,Subject,"Structure, Orient",Locus,Scope,Tone
critical level?,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
Hypothesis comes before methods,2. Writing Quality,Specific info,Directive,Within Report,Neutral
Is this the most concise way to communicate no significant difference? ,3. Technical and Scientific,Specific info,Reflective,Within Report,FLAG
"Try to use more parentheticals e.g. (t = , p = , df = ) etc.",3. Technical and Scientific,General info,Directive,Within Report,Neutral
"Just cite your figures at the end of the sentence e.g. (figure 1, figure 2). ",3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
Make sure you mention error bars,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"More or less, but you should think of resource allocation in terms of the chemistry of photosynthesis. What’s the limiting reactant in a high light environment? Why might a plant prioritize collection of the limiting reactant?",4. Logic and Thinking,Holistic,Reflective,Within Report,FLAG
Really solid first lab report. You do have some minor content errors. ,5. Praise or Concern,General info,Directive,Within Report,FLAG
Make sure your explanation of R:S is consistent in your introduction; your hypothesis does not correspond to the literature that you present. ,4. Logic and Thinking,Specific info,Corrective,Within Report,FLAG
You also need to explain light availability in terms of cellular functions and its potential impact on resource allocation specifically. ,4. Logic and Thinking,Holistic,Directive,Within Report,Neutral
You omit standard deviations from your results and you spend too much time in your discussion explaining p-values (you can assume that your reader can interpret significance without saying that the p-value was higher than the critical value). ,3. Technical and Scientific,General info,Corrective,Within Report,FLAG
I liked how clear your writing was and that you used relatively simple language to explain complex concepts. ,5. Praise or Concern,Holistic,Explanatory,Within Report,Positive
"With some tweaking, this will be a very strong lab report.B",12. Narrative Comments,General info,Directive,Within Report,Positive
Remember R:S = R/S. This statement is contradictory to your explanation of resource allocation. ,4. Logic and Thinking,Specific info,Directive,Within Report,FLAG
replicate,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
SDs?,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
This belongs in the methods section,2. Writing Quality,Specific info,Directive,Within Report,Neutral
What cell functions do light fulfill? An unfamiliar reader needs more background about light and its role in resource allocation in order to make sense of your hypothesis ,3. Technical and Scientific,Holistic,Reflective,Within Report,FLAG
"Hmm, you set up the end of your discussion like you had a big connection to make to ecology and evolution, and this is a pretty vague statement. Think a little more deeply about this point and include a specific connection between behavior and fitness, or something along those lines. ",4. Logic and Thinking,Holistic,Directive,Within Report,Positive
I don’t understand this sentence.Please include more in-depth descriptions of your fake fish. ,3. Technical and Scientific,Specific info,Corrective,Within Report,FLAG
How are you defining authentic/unauthentic?,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
I think you mean groups (each interaction of fish is a trial in this situation),2. Writing Quality,Specific info,Directive,Within Report,FLAG
"Ok, I hope I see evidence of this in your discussion!",2. Writing Quality,General info,Reflective,Within Report,Positive
Specify exactly which value you ran the tests on. ,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
"Two things, this is a sentence fragment, and also when you cite things in a scientific paper you should not include quotes, they must be paraphrased. Even if you use quotation marks, it’s still not acceptable in scientific literature. ",2. Writing Quality,General info,Corrective,Within Report,Neutral
"You should use this citation to set up the rationale for your hypothesis, so I will look forward to that in the revised version. ",4. Logic and Thinking,Specific info,Directive,Beyond Report,FLAG
