unique.record,report.id,sort,report.title,student,course,ta,lab,tag,type.TA,grade.TA,grading.time,Rank,hypothesis.ok,data.ok,citation.ok,interpretation.ok,organization.ok,techflaws.ok,writing.ok,comments.incorporated,ta.comment,code.subject,code.structure,code.locus,code.scope,code.tone,code.notes
Sp18.00001,R_0fanqHFhaY2yLT7,1,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,critical level?,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral,
Sp18.00002,R_0fanqHFhaY2yLT7,2,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,Hypothesis comes before methods,2. Writing Quality,Specific info,Directive,Within Report,Neutral,
Sp18.00003,R_0fanqHFhaY2yLT7,3,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,99,Yes,Yes,Yes,Yes,Yes,No,Yes,,Is this the most concise way to communicate no significant difference? ,3. Technical and Scientific,Specific info,Reflective,Within Report,FLAG,
Sp18.00004,R_0fanqHFhaY2yLT7,3,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,99,Yes,Yes,Yes,Yes,Yes,No,Yes,,"Try to use more parentheticals e.g. (t = , p = , df = ) etc.",3. Technical and Scientific,General info,Directive,Within Report,Neutral,
Sp18.00005,R_0fanqHFhaY2yLT7,4,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,"Just cite your figures at the end of the sentence e.g. (figure 1, figure 2). ",3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral,
Sp18.00006,R_0fanqHFhaY2yLT7,5,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,Make sure you mention error bars,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00007,R_0fanqHFhaY2yLT7,6,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,"More or less, but you should think of resource allocation in terms of the chemistry of photosynthesis. What’s the limiting reactant in a high light environment? Why might a plant prioritize collection of the limiting reactant?",4. Logic and Thinking,Holistic,Reflective,Within Report,FLAG,
Sp18.00008,R_0fanqHFhaY2yLT7,7,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,112,Yes,Yes,Yes,Yes,Yes,No,Yes,,Really solid first lab report. You do have some minor content errors. ,5. Praise or Concern,General info,Directive,Within Report,FLAG,
Sp18.00009,R_0fanqHFhaY2yLT7,7,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,113,Yes,Yes,Yes,Yes,Yes,No,Yes,,Make sure your explanation of R:S is consistent in your introduction; your hypothesis does not correspond to the literature that you present. ,4. Logic and Thinking,Specific info,Corrective,Within Report,FLAG,
Sp18.00010,R_0fanqHFhaY2yLT7,7,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,114,Yes,Yes,Yes,Yes,Yes,No,Yes,,You also need to explain light availability in terms of cellular functions and its potential impact on resource allocation specifically. ,4. Logic and Thinking,Holistic,Directive,Within Report,Neutral,
Sp18.00011,R_0fanqHFhaY2yLT7,7,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,115,Yes,Yes,Yes,Yes,Yes,No,Yes,,You omit standard deviations from your results and you spend too much time in your discussion explaining p-values (you can assume that your reader can interpret significance without saying that the p-value was higher than the critical value). ,3. Technical and Scientific,General info,Corrective,Within Report,FLAG,
Sp18.00012,R_0fanqHFhaY2yLT7,7,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,116,Yes,Yes,Yes,Yes,Yes,No,Yes,,I liked how clear your writing was and that you used relatively simple language to explain complex concepts. ,5. Praise or Concern,Holistic,Explanatory,Within Report,Positive,
Sp18.00013,R_0fanqHFhaY2yLT7,7,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,117,Yes,Yes,Yes,Yes,Yes,No,Yes,,"With some tweaking, this will be a very strong lab report.B",12. Narrative Comments,General info,Directive,Within Report,Positive,
Sp18.00014,R_0fanqHFhaY2yLT7,8,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,Remember R:S = R/S. This statement is contradictory to your explanation of resource allocation. ,4. Logic and Thinking,Specific info,Directive,Within Report,FLAG,
Sp18.00015,R_0fanqHFhaY2yLT7,9,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,replicate,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00016,R_0fanqHFhaY2yLT7,10,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,SDs?,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00017,R_0fanqHFhaY2yLT7,11,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,This belongs in the methods section,2. Writing Quality,Specific info,Directive,Within Report,Neutral,
Sp18.00018,R_0fanqHFhaY2yLT7,12,,Std_drVZ2x1W,113,TA_bc8EVX09,allocation,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,What cell functions do light fulfill? An unfamiliar reader needs more background about light and its role in resource allocation in order to make sense of your hypothesis ,3. Technical and Scientific,Holistic,Reflective,Within Report,FLAG,
Sp18.00019,R_vuktRVrMnVaPzSp,13,,Std_St4XmzW9,113,TA_YiRfsy28,betta,second,Submission,B,10,,Yes,Yes,Yes,Yes,Yes,Yes,No,,"Hmm, you set up the end of your discussion like you had a big connection to make to ecology and evolution, and this is a pretty vague statement. Think a little more deeply about this point and include a specific connection between behavior and fitness, or something along those lines. ",4. Logic and Thinking,Holistic,Directive,Within Report,Positive,
Sp18.00020,R_vuktRVrMnVaPzSp,14,,Std_St4XmzW9,113,TA_YiRfsy28,betta,second,Submission,B,10,93,Yes,Yes,Yes,Yes,Yes,Yes,No,,I don’t understand this sentence.Please include more in-depth descriptions of your fake fish. ,3. Technical and Scientific,Specific info,Corrective,Within Report,FLAG,
Sp18.00021,R_vuktRVrMnVaPzSp,14,,Std_St4XmzW9,113,TA_YiRfsy28,betta,second,Submission,B,10,94,Yes,Yes,Yes,Yes,Yes,Yes,No,,How are you defining authentic/unauthentic?,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral,
Sp18.00022,R_vuktRVrMnVaPzSp,15,,Std_St4XmzW9,113,TA_YiRfsy28,betta,second,Submission,B,10,,Yes,Yes,Yes,Yes,Yes,Yes,No,,I think you mean groups (each interaction of fish is a trial in this situation),2. Writing Quality,Specific info,Directive,Within Report,FLAG,
Sp18.00023,R_vuktRVrMnVaPzSp,16,,Std_St4XmzW9,113,TA_YiRfsy28,betta,second,Submission,B,10,,Yes,Yes,Yes,Yes,Yes,Yes,No,,"Ok, I hope I see evidence of this in your discussion!",2. Writing Quality,General info,Reflective,Within Report,Positive,
Sp18.00024,R_vuktRVrMnVaPzSp,17,,Std_St4XmzW9,113,TA_YiRfsy28,betta,second,Submission,B,10,,Yes,Yes,Yes,Yes,Yes,Yes,No,,Specify exactly which value you ran the tests on. ,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral,
Sp18.00025,R_vuktRVrMnVaPzSp,18,,Std_St4XmzW9,113,TA_YiRfsy28,betta,second,Submission,B,10,153,Yes,Yes,Yes,Yes,Yes,Yes,No,,"Two things, this is a sentence fragment, and also when you cite things in a scientific paper you should not include quotes, they must be paraphrased. Even if you use quotation marks, it’s still not acceptable in scientific literature. ",2. Writing Quality,General info,Corrective,Within Report,Neutral,
Sp18.00026,R_vuktRVrMnVaPzSp,18,,Std_St4XmzW9,113,TA_YiRfsy28,betta,second,Submission,B,10,154,Yes,Yes,Yes,Yes,Yes,Yes,No,,"You should use this citation to set up the rationale for your hypothesis, so I will look forward to that in the revised version. ",4. Logic and Thinking,Specific info,Directive,Beyond Report,FLAG,
Sp18.00027,R_vuktRVrMnVaPzSp,19,,Std_St4XmzW9,113,TA_YiRfsy28,betta,second,Submission,B,10,,Yes,Yes,Yes,Yes,Yes,Yes,No,,"We believe this is because…. (here you present this as a fact, and I can think of other cues that were also missing when you presented the fish with the fakes). Can you also think of them? Including those may allow you to make an even more convincing argument. ",4. Logic and Thinking,Holistic,Reflective,Within Report,FLAG,
Sp18.00028,R_a9mypg4ntfMcNi5,20,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,Average value for graphs should final day avg - first day avg for every caterpillar and then avg of the three differencesAdd error bars,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral,
Sp18.00029,R_a9mypg4ntfMcNi5,21,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,Check in the bio core guide which is the correct format of in-text citations.,3. Technical and Scientific,General info,Directive,Within Report,Neutral,
Sp18.00030,R_a9mypg4ntfMcNi5,22,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,Coloration of the larvae,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00031,R_a9mypg4ntfMcNi5,23,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,delete,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00032,R_a9mypg4ntfMcNi5,24,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,Do not quote other papers,2. Writing Quality,General info,Corrective,Within Report,Neutral,
Sp18.00033,R_a9mypg4ntfMcNi5,25,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,food,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00034,R_a9mypg4ntfMcNi5,26,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,Hypothesis are not proven correct or incorrect. The observed data could support or not the hypothesis.  ,2. Writing Quality,General info,Directive,Within Report,Neutral,
